round_epochs,val_loss,val_acc,loss,acc,batch_size,dropout,epochs,first_layer,last_activation,losses,lr,optimizer
10,0.62631888416267,0.6246185302734375,0.6607750012904783,0.58795285,10,0.35,10,200,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Adam'>
10,0.6906423972557666,0.5391657948493958,0.6749091858897133,0.581842,10,0.35,10,200,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Nadam'>
10,0.6269516452525421,0.6246185302734375,0.6690124809767991,0.57398516,10,0.35,10,200,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Adam'>
10,0.6591785941822482,0.6042726635932922,0.6785228434008628,0.5774771,10,0.35,10,200,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Nadam'>
10,0.6292029865396835,0.6286876797676086,0.6701610997898096,0.5918813,10,0.35,10,200,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Adam'>
10,0.6846587514222456,0.5625635981559753,0.6814518395546273,0.5665648,10,0.35,10,200,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Nadam'>
10,0.6327328356333448,0.6347914338111877,0.6598880835257988,0.5905718,108,0.2,10,100,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Adam'>
10,0.6318762324227443,0.6429297924041748,0.6596230386855143,0.581842,108,0.2,10,100,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Nadam'>
10,0.6303039727351673,0.6286876797676086,0.6552960410850738,0.5940637,108,0.2,10,100,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Adam'>
10,0.6370136611701755,0.6205493211746216,0.6547773073511527,0.5888258,108,0.2,10,100,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Nadam'>
10,0.6323512091035154,0.627670407295227,0.651973147181016,0.60366654,108,0.2,10,100,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Adam'>
10,0.6418500749407562,0.621566653251648,0.6553422641879031,0.60148406,108,0.2,10,100,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Nadam'>
10,0.6311339717187814,0.6337741613388062,0.6555108925964259,0.5914448,108,0.2,10,100,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Adam'>
10,0.6385822434391398,0.6266530752182007,0.660419681664379,0.58795285,108,0.2,10,100,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Nadam'>
10,0.6294399101518299,0.6347914338111877,0.6545265928879933,0.5914448,108,0.2,10,100,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Adam'>
10,0.6338251095458426,0.6256358027458191,0.6593863980471437,0.58096904,108,0.2,10,100,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Nadam'>
10,0.6329050993628322,0.6398779153823853,0.6577517988378957,0.59886515,108,0.2,10,150,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Adam'>
10,0.6319504275933165,0.6286876797676086,0.6551774147034524,0.5949367,108,0.2,10,150,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Nadam'>
10,0.6292087546078865,0.6266530752182007,0.6547882419025882,0.58751637,108,0.2,10,150,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Adam'>
10,0.6316533201466015,0.629705011844635,0.6565804434155648,0.5918813,108,0.2,10,150,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Nadam'>
10,0.6349661085879693,0.6256358027458191,0.6565514415801742,0.59013534,108,0.2,10,150,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Adam'>
10,0.6428982925924377,0.627670407295227,0.6560591397093978,0.59711915,108,0.2,10,150,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Nadam'>
10,0.6285137258856609,0.6256358027458191,0.6560323581795462,0.5979921,108,0.2,10,150,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Adam'>
10,0.6907621223710682,0.581892192363739,0.6610948814673488,0.5953732,108,0.2,10,150,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Nadam'>
10,0.6301722537464673,0.6185147762298584,0.6582244677816297,0.5984286,108,0.2,10,150,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Adam'>
10,0.6424779614257424,0.6266530752182007,0.6578667205996204,0.5931907,108,0.2,10,150,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Nadam'>
10,0.6319620932470382,0.6347914338111877,0.6586149073958345,0.59930164,108,0.2,10,200,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Adam'>
10,0.6335078911402946,0.629705011844635,0.6600433569035641,0.580096,108,0.2,10,200,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Nadam'>
10,0.630403406198003,0.627670407295227,0.655339001620612,0.5914448,108,0.2,10,200,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Adam'>
10,0.6353600161606758,0.6266530752182007,0.6582350608356548,0.60672194,108,0.2,10,200,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Nadam'>
10,0.6243442438262404,0.6307222843170166,0.6538067147857702,0.59886515,108,0.2,10,200,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Adam'>
